Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-02-19,Business Analyst, Mumbai (All Areas),Caratlane,4 , 9 ,,,"Business Analysis,Business Analytics,Market Analysis,Business Research,Data Analysis"
2024-02-18,Data Scientist - Machine Learning/Python, Hyderabad/Secunderabad,CARBYNETECH,3 , 8 ,,,"SQL,R,Data Management,Data Scientist,Predictive Modeling,Machine Learning,Python"
2024-02-18,Associate Manager / Manager - Treasure Data," Mumbai, Gurugram, Bengaluru",Course5 Intelligence,8 , 12 ,,,"CDP,Data Management,product development,data ingestion process,configuration,CDP schema"
2024-02-18,Principal Architect (OTT & Video Platforms), Chennai,Quickplay Media,0 , 20 ,,,"Packaging,FTP,application monitoring,Backend,Engineering Design,Javascript,Android,data governance,HTTP,Analytics"
2024-02-18,Native Mobile Application Developer," Kochi/Cochin, Calicut/Kozhikode, Bangalore/Bengaluru",Veuz Concepts,2 , 5 ,,,"Mobile application development,Mobile development,development testing,IOS,Computer science,Android,Design development,Mobile applications,Programming,Debugging"
2024-02-18,Dev Lead - 5.3, Pune,Persistent,8 , 10 ,,,"data engineering,Snowflake,etl,informatica,oracle,postgresql,data integration,python,sql scripting"
2024-02-18,Analytics Engineer, Jaipur,In Time Tec,4 , 9 ,,,"Data modeling,T-SQL,Python,Data quality,Data extraction,RDBMS,power bi,tableau,Troubleshooting,Analytics"
2024-02-18,Senior Digital Engineer(.NET & Angular), Bangalore/Bengaluru,TVS Motor,4 , 7 ,,,"sql server,html,c++,web services,web api,entity framework,c#,microservices,rest,asp.net,ci/cd,microsoft azure,continuous integration,angular,architectural patterns,ci cd pipeline,mvc,wcf,wpf,api,javascript,git,cd,tfs,design patterns,digital,.net"
2024-02-18,Natural Language Processing (NLP)-AI Platform Engineer, Bengaluru,Accenture,5 , 10 ,,,"neural networks,presentation skills,deep learning,rnn,svm,lstm,machine learning,data science,writing,algorithms,problem solving,ml,r,python,artificial intelligence,chatbot,text mining,statistics,natural language processing,sentiment analysis"
2024-02-18,Etl Testing Engineer," Hyderabad, Chennai, Bengaluru",Aequor Technologies,7 , 12 ,12,22,"ETL,SQL,ETL Testing"
2024-02-18,Concerto Software & Systems - Hybrid Mobile Developer - iOS Platform, Navi Mumbai,Concerto Software Systems,3 , 6 ,,,"Hybrid Apps,Push Notification,API,iOS,Objective C,SWIFT,Mobile App Designing,Cocoa Touch,Code Versioning Tools"
2024-02-18,Senior Technical Support Engineer," Hyderabad,Telangana",Insightsoftware,6 , 10 ,16,20,"Application Support,SQL,Azure Cloud"
2024-02-18,Application Developer: Mobile,,unknown,,,,,"scalability,coding,linux,html,excel,presentation skills,redhat linux,kotlin,dart,sqlite,mobile application development,powerpoint,android,sdlc,software development life cycle,application development,java,ios,flutter,design patterns,ui"
2024-02-18,Engineer Materials Laboratory," Bengaluru,Karnataka",Masadir Hr Services,3 , 8 ,,,"Polymer Testing,ASTM,ISO,Chemical system,Material development,Failure Analysis,Calibration,Elastomer,Material Testing,Safety,Polymer,5S"
2024-02-18,Computer Vision-AI Platform Engineer, Bengaluru,Accenture,5 , 10 ,,,"pattern recognition,scikit-learn,deep learning,image processing,artificial intelligence,tensorflow,machine learning,computer vision,data science,natural language processing,pytorch,keras,predictive modeling,python,neural networks,opencv"
2024-02-18,Lead Engineer - Android, Bangalore/Bengaluru,Target,8 , 12 ,,,"android application development,Manager Technology,Architecture,Automation,JSON,Android,continuous integration,android studio,Coding,Functional testing"
2024-02-18,Media & Graphics Design Specialist, Mumbai,Accenture,7 , 11 ,,,"offset printing,banners,html,adobe creative suite,excel,typography,photoshop,flash,ms office tools,css,adobe,graphics,visual design,powerpoint,3d rendering,javascript,illustrator,ux,art,aftereffects,design,digital,animation,motion graphics"
2024-02-19,Full Stack Developer, Bengaluru,"Neutrinos - Build, Next Incredible",4 , 7 ,,,"Angular,CSS,HTML,Node.Js,Javascript,MongoDB,React.Js,Mern Stack,Mean Stack,Postgresql"
2024-02-18,Instructor Senior Analyst - Capability Development, Hyderabad,Accenture,5 , 8 ,,,"qms,written communication,quality management,coaching,google sheets,powerpoint,quality monitoring,communication skills,data analysis,training and development,capability building,documentation,excel,training needs,training,presentation skills"
2024-02-18,Business Transformation Consultant-Finance Transformation,,unknown,,,,,"business transformation,financial transformation,finance,iot,process redesign,sales,finance process,transformation,project delivery,digital transformation,procurement,operations,service procurement,account management,blockchain,writing"
2024-02-18,H1B For Startup Entrepreneurs & CXOs," arkansas, new york",Sonicorn,1 , 6 ,"100,000",,"devOps,apps development,Data Analytics,Sharepoint,blockchain,systems analysis,database,QA testing,.NEt,Artificial Intelligence,Java/J2EE,Data Science,business analysis,python,full stack,mobile development,Natural Language Processing,programming,enterprise architecture"
2024-02-18,Partner Solutions Architect : Big Data, Bangalore/Bengaluru,Databricks,0 , 11 ,,,"Open source,Travel insurance,OLAP,SQL,SAN,OLTP,Machine learning,GCP,Python,Consulting"
2024-02-18,Corporate Manager cum EA," Pune,Maharashtra",V Group,7 , 10 ,,,"Calendaring,Business Coordination,Vendor Coordination,EA,Stakeholder Management,Executive Support,Business Communication Skills,Business Operations"
